monitorname,resolution,format,pixval
SVGA,800 × 600,4:3,480 кпикс
FWVGA,854 × 480,16:9,"409,92 кпикс"
qHD,960 × 540,16:9,"518,4 кпикс"
WSVGA,1024 × 600,128:75,"614,4 кпикс"
XGA,1024 × 768,4:3,"786,432 кпикс"
XGA+,1152 × 864,4:3,"995,3 кпикс"
WXVGA,1200 × 600,2:1,720 кпикс
HDV 720p (HD ready) (720p),1280 × 720,16:9,"921,6 кпикс"
WXGA,1280 × 768,5:3 (14:9),"983,04 кпикс"
SXGA,1280 × 1024,5:4,"1,31 Мпикс"
16CIF,1408 × 1152,11:9,"1,62 Мпикс"
WXGA+,1440 × 900,16:10,"1,296 Мпикс"
SXGA+,1400 × 1050,4:3,"1,47 Мпикс"
HDV 1080i (Анаморфный Full HD с неквадратным пикселем),1440 × 1080,4:3,"1,55 Мпикс"
XJXGA,1536 × 960,16:10,"1,475 Мпикс"
WSXGA ?,1536 × 1024,3:2,"1,57 Мпикс"
WXGA++ (HD+),1600 × 900,16:9,"1,44 Мпикс"
WSXGA,1600 × 1024,25:16,"1,64 Мпикс"
UXGA,1600 × 1200,4:3,"1,92 Мпикс"
WSXGA+,1680 × 1050,16:10,"1,76 Мпикс"
HDTV (Full HD) (FHD) 1080p,1920 × 1080,16:9,"2,07 Мпикс"
WUXGA,1920 × 1200,16:10,"2,3 Мпикс"
2K DCI (Cinema 2K),2048 × 1080,19:10,"2,2 Мпикс"
QWXGA,2048 × 1152,16:9,"2,36 Мпикс"
QXGA,2048 × 1536,4:3,"3,15 Мпикс"
UWHD,2560 × 1080,64:27 (21:9),"2,76 Мпикс"
WQXGA (WQHD) (QHD),2560 × 1440,16:9,"3,68 Мпикс"
WQXGA,2560 × 1600,16:10,"4,09 Мпикс"
QSXGA,2560 × 2048,5:4,"5,24 Мпикс"
WQXGA+,3200 × 1800,16:9,"5,76 Мпикс"
WQSXGA,3200 × 2048,25:16,"6,55 Мпикс"
QUXGA,3200 × 2400,4:3,"7,68 Мпикс"
Ultra WQHD,3440 × 1440,43:18,"4,95 Мпикс"
4K UHD (Ultra HD)[1] (UHDTV-1),3840 × 2160,16:9,"8,29 Мпикс"
