,normalizedName,shortName,width,height,Items,ItemMasks,GridItems
0,colt-m4a1-556x45-assault-rifle,M4A1,1,1,Images/Items/item_0.png,Images/ItemMasks/itemmask_0.png,Images/GridItems/griditem_0.png
1,556x45mm-m855-ammo-pack-30-pcs,M855,1,1,Images/Items/item_1.png,Images/ItemMasks/itemmask_1.png,Images/GridItems/griditem_1.png
2,factory-emergency-exit-key,Factory,1,1,Images/Items/item_2.png,Images/ItemMasks/itemmask_2.png,Images/GridItems/griditem_2.png
3,makarov-pm-9x18pm-pistol,PM,2,1,Images/Items/item_3.png,Images/ItemMasks/itemmask_3.png,Images/GridItems/griditem_3.png
4,rgd-5-hand-grenade,RGD-5,1,1,Images/Items/item_4.png,Images/ItemMasks/itemmask_4.png,Images/GridItems/griditem_4.png
5,pm-9x18pm-90-93-8-round-magazine,PM,1,1,Images/Items/item_5.png,Images/ItemMasks/itemmask_5.png,Images/GridItems/griditem_5.png
6,556x45-magpul-pmag-20-gen-m3-stanag-20-round-magazine,GEN M3,1,1,Images/Items/item_6.png,Images/ItemMasks/itemmask_6.png,Images/GridItems/griditem_6.png
7,bottle-of-water-06l,Water,1,2,Images/Items/item_7.png,Images/ItemMasks/itemmask_7.png,Images/GridItems/griditem_7.png
8,army-crackers,Crackers,1,1,Images/Items/item_8.png,Images/ItemMasks/itemmask_8.png,Images/GridItems/griditem_8.png
9,roubles,RUB,1,1,Images/Items/item_9.png,Images/ItemMasks/itemmask_9.png,Images/GridItems/griditem_9.png
10,anpeq-15-tactical-device,AN/PEQ-15,1,1,Images/Items/item_10.png,Images/ItemMasks/itemmask_10.png,Images/GridItems/griditem_10.png
11,er-fulcrum-bayonet,ER BAYONET,2,1,Images/Items/item_11.png,Images/ItemMasks/itemmask_11.png,Images/GridItems/griditem_11.png
12,mp-133-12ga-pump-action-shotgun,MP-133,3,1,Images/Items/item_12.png,Images/ItemMasks/itemmask_12.png,Images/GridItems/griditem_12.png
13,secure-container-alpha,Alpha,2,2,Images/Items/item_13.png,Images/ItemMasks/itemmask_13.png,Images/GridItems/griditem_13.png
14,556x45-magpul-pmag-40-gen-m3-stanag-40-round-magazine,GEN M3,1,3,Images/Items/item_14.png,Images/ItemMasks/itemmask_14.png,Images/GridItems/griditem_14.png
15,556x45-surefire-mag5-60-stanag-60-round-magazine,MAG5-60,1,2,Images/Items/item_15.png,Images/ItemMasks/itemmask_15.png,Images/GridItems/griditem_15.png
16,ar-15-colt-usgi-a2-556x45-flash-hider,USGI A2,1,1,Images/Items/item_16.png,Images/ItemMasks/itemmask_16.png,Images/GridItems/griditem_16.png
17,leupold-mark-4-hamr-4x24-deltapoint-hybrid-assault-scope,HAMR,2,1,Images/Items/item_17.png,Images/ItemMasks/itemmask_17.png,Images/GridItems/griditem_17.png
18,crye-precision-avs-plate-carrier,AVS,3,4,Images/Items/item_18.png,Images/ItemMasks/itemmask_18.png,Images/GridItems/griditem_18.png
19,flyye-mbss-backpack,MBSS,4,4,Images/Items/item_19.png,Images/ItemMasks/itemmask_19.png,Images/GridItems/griditem_19.png
20,aseptic-bandage,Bandage,1,1,Images/Items/item_20.png,Images/ItemMasks/itemmask_20.png,Images/GridItems/griditem_20.png
21,immobilizing-splint,Splint,1,1,Images/Items/item_21.png,Images/ItemMasks/itemmask_21.png,Images/GridItems/griditem_21.png
22,analgin-painkillers,Analgin,1,1,Images/Items/item_22.png,Images/ItemMasks/itemmask_22.png,Images/GridItems/griditem_22.png
23,morphine-injector,Morphine,1,1,Images/Items/item_23.png,Images/ItemMasks/itemmask_23.png,Images/GridItems/griditem_23.png
24,salewa-first-aid-kit,Salewa,1,2,Images/Items/item_24.png,Images/ItemMasks/itemmask_24.png,Images/GridItems/griditem_24.png
25,leatherman-multitool,MultiTool,1,1,Images/Items/item_25.png,Images/ItemMasks/itemmask_25.png,Images/GridItems/griditem_25.png
26,pack-of-russian-army-pineapple-juice,Pineapple,1,2,Images/Items/item_26.png,Images/ItemMasks/itemmask_26.png,Images/GridItems/griditem_26.png
27,slickers-chocolate-bar,Slickers,1,1,Images/Items/item_27.png,Images/ItemMasks/itemmask_27.png,Images/GridItems/griditem_27.png
28,556x45mm-m855,M855,1,1,Images/Items/item_28.png,Images/ItemMasks/itemmask_28.png,Images/GridItems/griditem_28.png
29,556x45mm-m855a1,M855A1,1,1,Images/Items/item_29.png,Images/ItemMasks/itemmask_29.png,Images/GridItems/griditem_29.png
30,camelbak-tri-zip-assault-backpack,Tri-Zip,5,6,Images/Items/item_30.png,Images/ItemMasks/itemmask_30.png,Images/GridItems/griditem_30.png
31,6b43-6a-zabralo-sh-body-armor,6B43 6A,4,4,Images/Items/item_31.png,Images/ItemMasks/itemmask_31.png,Images/GridItems/griditem_31.png
32,tactical-glasses,TGlasses,2,1,Images/Items/item_32.png,Images/ItemMasks/itemmask_32.png,Images/GridItems/griditem_32.png
33,mp-43-1c-12ga-510mm-barrel,MP-43 510mm,3,1,Images/Items/item_33.png,Images/ItemMasks/itemmask_33.png,Images/GridItems/griditem_33.png
34,sv-98-762x54r-bolt-action-sniper-rifle,SV-98,4,1,Images/Items/item_34.png,Images/ItemMasks/itemmask_34.png,Images/GridItems/griditem_34.png
35,mp-43-1c-12ga-double-barrel-shotgun,MP-43-1C,2,1,Images/Items/item_35.png,Images/ItemMasks/itemmask_35.png,Images/GridItems/griditem_35.png
36,eotech-exps3-holographic-sight-tan,EXPS3,1,1,Images/Items/item_36.png,Images/ItemMasks/itemmask_36.png,Images/GridItems/griditem_36.png
37,556x45-magpul-pmag-30-gen-m3-w-stanag-30-round-magazine,GEN M3,1,2,Images/Items/item_37.png,Images/ItemMasks/itemmask_37.png,Images/GridItems/griditem_37.png
38,ar-15-magpul-moe-pistol-grip-black,MOE AR15,1,1,Images/Items/item_38.png,Images/ItemMasks/itemmask_38.png,Images/GridItems/griditem_38.png
39,tangodown-stubby-bgv-mk46k-foregrip-black,BGV-MK46K,1,1,Images/Items/item_39.png,Images/ItemMasks/itemmask_39.png,Images/GridItems/griditem_39.png
40,sv-98-762x54r-10-round-magazine,SV-98,1,1,Images/Items/item_40.png,Images/ItemMasks/itemmask_40.png,Images/GridItems/griditem_40.png
41,m4a1-556x45-upper-receiver,M4A1,2,1,Images/Items/item_41.png,Images/ItemMasks/itemmask_41.png,Images/GridItems/griditem_41.png
42,ar-15-556x45-260mm-barrel,AR-15 260mm,2,1,Images/Items/item_42.png,Images/ItemMasks/itemmask_42.png,Images/GridItems/griditem_42.png
43,ar-15-556x45-370mm-barrel,AR-15 370mm,3,1,Images/Items/item_43.png,Images/ItemMasks/itemmask_43.png,Images/GridItems/griditem_43.png
44,mp-43-1c-12ga-725mm-barrel,MP-43 725mm,5,1,Images/Items/item_44.png,Images/ItemMasks/itemmask_44.png,Images/GridItems/griditem_44.png
45,mp-133-12ga-610mm-barrel,MP133 610mm,4,1,Images/Items/item_45.png,Images/ItemMasks/itemmask_45.png,Images/GridItems/griditem_45.png
46,mp-133-12ga-510mm-barrel,MP133 510mm,3,1,Images/Items/item_46.png,Images/ItemMasks/itemmask_46.png,Images/GridItems/griditem_46.png
47,mp-133-12ga-610mm-barrel-with-rib,MP133 610mm rib,4,1,Images/Items/item_47.png,Images/ItemMasks/itemmask_47.png,Images/GridItems/griditem_47.png
48,ar-15-colt-charging-handle,AR-15,1,1,Images/Items/item_48.png,Images/ItemMasks/itemmask_48.png,Images/GridItems/griditem_48.png
49,ar-15-kac-ris-handguard,KAC RIS,2,1,Images/Items/item_49.png,Images/ItemMasks/itemmask_49.png,Images/GridItems/griditem_49.png
50,mp-133-beechwood-forestock,MP133 beech,2,1,Images/Items/item_50.png,Images/ItemMasks/itemmask_50.png,Images/GridItems/griditem_50.png
51,mp-133-custom-plastic-forestock-with-rails,MP133 rails,2,1,Images/Items/item_51.png,Images/ItemMasks/itemmask_51.png,Images/GridItems/griditem_51.png
52,ak-74-545x39-6l23-30-round-magazine,6L23,1,2,Images/Items/item_52.png,Images/ItemMasks/itemmask_52.png,Images/GridItems/griditem_52.png
53,ak-74-545x39-6l26-45-round-magazine,6L26,1,3,Images/Items/item_53.png,Images/ItemMasks/itemmask_53.png,Images/GridItems/griditem_53.png
